"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"147",-31000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",-23000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",-15000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",-7000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",1000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",9000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",17000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",25000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",33000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",41000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",49000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",57000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",65000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",73000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",81000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",89000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",97000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",105000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",113000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",121000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",129000,1482000,10.0443578957515,14.410260362849,13.7458812820405,0.943920076429226,1.96979185082348,3.79091792733788,3.85766453992906,3.84956786346127,3.95904913265226,3.39150957393898,3.59477560045402,7.76787427227653
"168",137000,1482000,-3.73204835114342,-6.69758477334168,2.88310525258929,4.03257081617758,1.29656866460842,17.9783311242261,13.1314671744955,8.64783418331314,2.02728914561471,5.05710907846,-4.55461834641634,-7.0914474701881
"169",145000,1482000,-4.53272498344352,-7.31860748202017,2.84752426152119,4.17434803727199,1.41033732199666,18.107257800509,13.077026429333,8.48714144158009,1.87157968884226,4.76436735509822,-5.05711775971238,-8.22610722928995
"170",153000,1482000,-5.82547404215051,-8.05058237392088,-0.932353763859794,3.79091462332444,1.45497002687994,18.2132674443313,13.0317483927019,8.35050260394759,1.68974534709861,4.44386645450682,-6.09650024415843,-10.4614128299993
"171",161000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",169000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",177000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",185000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",193000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",201000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",209000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",217000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",225000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",233000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",241000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",249000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",257000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",265000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",273000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",281000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",289000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",297000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",305000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",313000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",321000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",329000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",337000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",345000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",353000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",361000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",369000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",377000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",385000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",393000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",401000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",409000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",417000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",425000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",433000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",441000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",449000,1482000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
