"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"10698",0.0145625,0.02048,0.0011525,0.00524466666666667,0.02279225,0.04223875,0.03699,0.031894,0.03426575,0.0174396666666667,-0.001424,-0.00443499999999999
"10699",0.02265,0.0208,0.000360000000000006,0.00520466666666667,0.022784,0.04215125,0.0368325,0.031789,0.03426825,0.0174373333333333,-0.0015465,-0.00435750000000001
"10700",0.04432,0.0432,0.0349825,0.0275313333333333,0.05229075,0.06652875,0.0609375,0.057224,0.05512075,0.0454426666666667,0.007886,0.01114
"10701",-0.0049575,0.0019675,0.00365,0.00513133333333333,0.02276175,0.04199375,0.0365275,0.031569,0.03422575,0.017429,-0.001579,-0.00573
"10702",-0.0159825,0.01648,0.00293000000000001,0.005098,0.022748,0.04188125,0.036345,0.0314515,0.03420075,0.0174253333333333,-0.001249,-0.0073725
"10703",0.03392,0.020675,0.0301025,0.0226566666666667,0.02959425,0.0248025,0.0248375,0.0259325,0.020965,0.0278826666666667,0.00896,0.017525
"10704",0.0267125,0.0143975,0.0338075,0.0227866666666667,0.029631,0.0249475,0.025045,0.0260625,0.0209975,0.0278416666666667,0.00929,0.0177075
"10749",0.1788325,0.167665,0.05851,0.0121566666666667,0.0063025,0.006565,0.01951,0.0247075,0.024695,0.0244233333333333,0.0835125,0.169705
"10750",0,0,0,0,0,0,0,0,0,0,0,2.49999999998862e-06
"10751",0.1840275,0.1738525,0.0589725,0.01245,0.00664500000000001,0.0065875,0.01943,0.024675,0.024765,0.02462,0.080365,0.1673525
"10774",0.12865,0.1555475,0.071075,0.0212366666666667,0.015425,0.000447500000000003,0.004295,0.00889499999999999,0.00706499999999999,0.01831,0.059185,0.1209225
"10793",0.3048475,0.350065,0.1461375,0.03917,0.0270225,0.0066925,0.0198125,0.029945,0.032565,0.0453766666666667,0.1245225,0.259225
"10794",0.299575,0.35013,0.14735,0.0391966666666667,0.0270775,0.0066975,0.0197575,0.0298725,0.0325175,0.0452733333333333,0.1238425,0.2476675
"10796",0.141065,0.16516,0.07967,0.0225966666666667,0.01622,0.000775000000000005,0.00496749999999999,0.00893,0.00649749999999999,0.01657,0.057225,0.1092925
"10797",0.14036,0.16534,0.079405,0.0226433333333333,0.016265,0.000795000000000011,0.005015,0.0089425,0.00647249999999999,0.01652,0.0564075,0.1004525
"10798",0.2991025,0.352245,0.1468275,0.03927,0.027225,0.006705,0.0195825,0.0296175,0.0323675,0.0449433333333333,0.12331,0.22427
"10799",0.2844625,0.35264,0.1470775,0.0393,0.0272625,0.00670999999999999,0.0195475,0.02955,0.0323325,0.0448866666666667,0.12256,0.2274425
"10800",0.2604725,0.352365,0.1480125,0.03932,0.02729,0.00670999999999999,0.01951,0.0294925,0.032295,0.0448533333333333,0.12309,0.22654
