"","Lat","Lon","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"195",49.57554579,-92.20677557,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"196",49.58350215,-92.09690838,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"197",49.59136079,-91.98700799,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"198",49.59912164,-91.87707478,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"199",49.60678468,-91.76710916,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"200",49.61434984,-91.65711153,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"201",49.62181709,-91.54708227,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"202",49.62918638,-91.4370218,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"203",49.63645767,-91.32693051,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"204",49.64363091,-91.2168088,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"205",49.65070606,-91.10665707,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"206",49.65768308,-90.99647572,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"207",49.66456193,-90.88626516,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"208",49.67134257,-90.77602579,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"209",49.67802495,-90.66575801,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"210",49.68460904,-90.55546223,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"211",49.69109479,-90.44513885,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"212",49.69748218,-90.33478827,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"213",49.70377115,-90.22441091,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"214",49.70996167,-90.11400716,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"215",49.71605371,-90.00357745,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"216",49.72204723,-89.89312216,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"217",49.72794219,-89.78264172,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"218",49.73373855,-89.67213654,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
